Name,Time,Amperage_A,Amperage_B,Amperage_C,Env_temp,Humidity,Upper_oil_temp,H2_concentration,CO_concentration,Built
Ледовый Дворец\Т-2,2015-04-27 20:00:00,13.5,13.5,14.88888888888889,22.0,2.20000004768372,41.0,13.353332996368367,30.2999992370605,2013
Ледовый Дворец\Т-2,2015-04-27 21:00:00,13.4,13.428571428571429,14.625,21.666666666666668,2.16000008583069,41.57142857142857,13.346666336059533,30.2000007629395,2013
Ледовый Дворец\Т-2,2015-04-27 22:00:00,13.11111111111111,13.5,14.5,21.333333333333332,2.11999988555908,40.5,13.3399996757507,29.8999996185303,2013
Ледовый Дворец\Т-2,2015-04-27 23:00:00,12.9,13.5,14.5,21.0,2.07999992370605,40.333333333333336,13.119999885559066,30.466667175292997,2013
Ледовый Дворец\Т-2,2015-04-28 00:00:00,13.5,13.5,14.5,21.5,2.03999996185303,40.166666666666664,13.0,30.6000003814697,2013
Ледовый Дворец\Т-2,2015-04-28 01:00:00,12.88888888888889,13.25,14.1,22.0,2.0,40.0,13.1733331680298,30.46666653951007,2013
Ледовый Дворец\Т-2,2015-04-28 02:00:00,12.666666666666666,13.25,13.866666666666667,21.0,2.0,40.0,13.3599996566772,29.8499994277954,2013
Ледовый Дворец\Т-2,2015-04-28 03:00:00,12.5,13.0,13.9,21.0,2.0,40.0,13.3199996948242,29.7000007629395,2013
Ледовый Дворец\Т-2,2015-04-28 04:00:00,12.5,12.75,13.833333333333334,21.0,2.0,40.0,13.299999713897682,29.6000003814697,2013
Ледовый Дворец\Т-2,2015-04-28 05:00:00,11.88888888888889,11.777777777777779,13.0,21.0,1.980000019073485,40.333333333333336,13.279999732971167,29.5,2013
Ледовый Дворец\Т-2,2015-04-28 06:00:00,11.5,11.428571428571429,12.5,21.666666666666664,1.96000003814697,40.666666666666664,13.25999975204465,29.3499994277954,2013
Ледовый Дворец\Т-2,2015-04-28 07:00:00,11.5,11.555555555555555,12.5,22.333333333333332,2.0,41.0,13.026666641235332,29.2000007629395,2013
Ледовый Дворец\Т-2,2015-04-28 08:00:00,11.5,12.0,12.846153846153847,22.916666666666664,2.019999980926515,40.5,12.76000022888185,28.7999998728434,2013
Ледовый Дворец\Т-2,2015-04-28 09:00:00,12.1,12.5,12.933333333333334,23.5,2.03999996185303,41.666666666666664,12.740000247955301,28.2000007629395,2013
Ледовый Дворец\Т-2,2015-04-28 10:00:00,12.5,12.545454545454545,13.538461538461538,25.0,2.099999904632565,42.166666666666664,12.8000001907349,27.7333335876465,2013
Ледовый Дворец\Т-2,2015-04-28 11:00:00,12.538461538461538,13.0,14.0,24.5,2.16000008583069,42.666666666666664,12.826666831970234,27.7666664123535,2013
Ледовый Дворец\Т-2,2015-04-28 12:00:00,12.76923076923077,13.5,14.5,26.0,2.20000004768372,43.166666666666664,12.8400001525879,27.399999618530263,2013
Ледовый Дворец\Т-2,2015-04-28 13:00:00,12.666666666666666,13.2,13.76923076923077,25.5,2.24000000953674,43.666666666666664,12.8400001525879,27.55000019073485,2013
Ледовый Дворец\Т-2,2015-04-28 14:00:00,12.7,13.133333333333333,13.818181818181818,25.88888888888889,2.27999997138977,44.166666666666664,12.8400001525879,27.3999996185303,2013
Ледовый Дворец\Т-2,2015-04-28 15:00:00,12.7,13.066666666666666,13.866666666666667,26.27777777777778,2.3199999332428,44.666666666666664,12.8400001525879,27.2999992370605,2013
Ледовый Дворец\Т-2,2015-04-28 16:00:00,12.428571428571429,12.785714285714286,13.666666666666666,26.666666666666668,2.339999914169315,44.77777777777778,12.8400001525879,27.2000007629395,2013
Ледовый Дворец\Т-2,2015-04-28 17:00:00,12.444444444444445,12.714285714285714,13.307692307692308,26.61111111111111,2.35999989509583,44.888888888888886,12.833333492279067,27.1000003814697,2013
Ледовый Дворец\Т-2,2015-04-28 18:00:00,11.7,12.285714285714286,12.7,26.555555555555557,2.40000009536743,45.0,12.826666831970233,27.0,2013
Ледовый Дворец\Т-2,2015-04-28 19:00:00,12.2,12.5,14.0,26.5,2.420000076293945,44.66666666666667,12.8200001716614,26.8999996185303,2013
Ледовый Дворец\Т-2,2015-04-28 20:00:00,12.923076923076923,13.5,14.5,25.0,2.44000005722046,44.333333333333336,13.009999990463283,26.75,2013
Ледовый Дворец\Т-2,2015-04-28 21:00:00,12.7,13.5,14.5,24.5,2.40000009536743,43.88095238095238,13.199999809265167,28.099999745686834,2013
Ледовый Дворец\Т-2,2015-04-28 22:00:00,13.0,13.555555555555555,14.545454545454545,24.0,2.35999989509583,43.42857142857143,13.8533334732056,30.2000001271566,2013
Ледовый Дворец\Т-2,2015-04-28 23:00:00,12.5,13.25,14.0,23.666666666666668,2.3199999332428,43.06349206349206,14.2799997329712,32.2999998728434,2013
Ледовый Дворец\Т-2,2015-04-29 00:00:00,12.5,13.0,13.933333333333334,23.333333333333332,2.259999990463255,42.6984126984127,14.2399997711182,34.233333587646506,2013
Ледовый Дворец\Т-2,2015-04-29 01:00:00,12.5,12.9,13.833333333333334,23.0,2.230000019073487,42.333333333333336,14.2399997711182,34.45000076293945,2013
Ледовый Дворец\Т-2,2015-04-29 02:00:00,12.5,12.7,13.7,23.0,2.20000004768372,42.22222222222222,14.2399997711182,34.2999992370605,2013
Ледовый Дворец\Т-2,2015-04-29 03:00:00,12.333333333333334,12.5,13.5,23.0,2.180000066757205,42.111111111111114,14.2399997711182,34.1499996185303,2013
Ледовый Дворец\Т-2,2015-04-29 04:00:00,12.5,12.5,13.4,23.0,2.16000008583069,42.0,14.242712035494066,34.17570716480042,2013
Ледовый Дворец\Т-2,2015-04-29 05:00:00,12.5,12.500196772924046,13.400118063754428,23.014167650531288,2.160920983081445,42.00590318772137,14.245424299869933,34.20141471107054,2013
Ледовый Дворец\Т-2,2015-04-29 06:00:00,12.5,12.500393545848091,13.400236127508855,23.028335301062572,2.1618418803322004,42.01180637544274,14.248136564245799,34.22712225734066,2013
Ледовый Дворец\Т-2,2015-04-29 07:00:00,12.5,12.500590318772137,13.400354191263283,23.04250295159386,2.1627627775829557,42.01770956316411,14.250848828621665,34.25282980361077,2013
Ледовый Дворец\Т-2,2015-04-29 08:00:00,12.5,12.500787091696182,13.40047225501771,23.05667060212515,2.163683674833711,42.023612750885476,14.253561092997533,34.27853734988089,2013
Ледовый Дворец\Т-2,2015-04-29 09:00:00,12.5,12.500983864620228,13.400590318772137,23.070838252656433,2.1646045720844667,42.02951593860685,14.256273357373399,34.30424489615101,2013
Ледовый Дворец\Т-2,2015-04-29 10:00:00,12.5,12.501180637544273,13.400708382526565,23.08500590318772,2.165525469335222,42.035419126328215,14.258985621749266,34.32995244242113,2013
Ледовый Дворец\Т-2,2015-04-29 11:00:00,12.5,12.50137741046832,13.400826446280993,23.09917355371901,2.1664463665859772,42.04132231404959,14.261697886125132,34.35565998869125,2013
Ледовый Дворец\Т-2,2015-04-29 12:00:00,12.5,12.501574183392366,13.40094451003542,23.113341204250297,2.1673672638367325,42.04722550177095,14.264410150500998,34.38136753496137,2013
Ледовый Дворец\Т-2,2015-04-29 13:00:00,12.5,12.501770956316411,13.401062573789847,23.12750885478158,2.168288161087488,42.053128689492326,14.267122414876866,34.40707508123149,2013
Ледовый Дворец\Т-2,2015-04-29 14:00:00,12.5,12.501967729240457,13.401180637544273,23.14167650531287,2.169209058338243,42.0590318772137,14.269834679252732,34.4327826275016,2013
Ледовый Дворец\Т-2,2015-04-29 15:00:00,12.5,12.502164502164502,13.401298701298701,23.155844155844157,2.1701299555889983,42.064935064935064,14.272546943628598,34.45849017377172,2013
Ледовый Дворец\Т-2,2015-04-29 16:00:00,12.5,12.502361275088548,13.40141676505313,23.17001180637544,2.1710508528397536,42.070838252656436,14.275259208004465,34.48419772004184,2013
Ледовый Дворец\Т-2,2015-04-29 17:00:00,12.5,12.502558048012594,13.401534828807556,23.18417945690673,2.1719717500905094,42.0767414403778,14.277971472380331,34.50990526631196,2013
Ледовый Дворец\Т-2,2015-04-29 18:00:00,12.5,12.502754820936639,13.401652892561984,23.198347107438018,2.1728926473412646,42.082644628099175,14.280683736756199,34.53561281258208,2013
Ледовый Дворец\Т-2,2015-04-29 19:00:00,12.5,12.502951593860685,13.401770956316412,23.212514757969302,2.17381354459202,42.08854781582054,14.283396001132065,34.5613203588522,2013
Ледовый Дворец\Т-2,2015-04-29 20:00:00,12.5,12.50314836678473,13.401889020070838,23.22668240850059,2.174734441842775,42.09445100354191,14.28610826550793,34.58702790512232,2013
Ледовый Дворец\Т-2,2015-04-29 21:00:00,12.5,12.503345139708776,13.402007083825266,23.240850059031878,2.1756553390935305,42.100354191263285,14.288820529883798,34.61273545139243,2013
